"var","time","Min.","2.5%","Median","Mean","97.5%","Max."
"Clinmin",19.25,0.00132075456534126,0.00197128751860377,0.0036493257351514,0.00380525875554549,0.00647972289686495,0.00993982230963066
"Clinmin",19.3333333333333,0.00129329087785184,0.00193451037666872,0.00359394033666331,0.00374899821145034,0.00639860990197828,0.00983380933745352
"Clinmin",19.4166666666667,0.00126639813966841,0.00189968937354307,0.00353795666217792,0.00369357750293438,0.00631851167912847,0.00972892624379341
"Clinmin",19.5,0.00124006448921349,0.0018663565356889,0.0034849143519929,0.00363898398329564,0.0062394155656157,0.00962516102965773
"Clinmin",19.5833333333333,0.00121427831081756,0.00183360852057673,0.00343242781456287,0.00358520519736153,0.0061613787151078,0.00952250182114625
"Clinmin",19.6666666666667,0.00118902822967197,0.00180143507086999,0.00338144792995977,0.0035322288786152,0.00608421590563027,0.00942093686827759
"Clinmin",19.75,0.00116430310688205,0.00176982610893031,0.00333198995957129,0.0034800429463621,0.00600801558639676,0.00932045454381973
"Clinmin",19.8333333333333,0.00114009203457927,0.00173799869899198,0.00328010907513664,0.00342863550291377,0.00593280438026534,0.00922104334211528
"Clinmin",19.9166666666667,0.00111638433115855,0.00170628416940536,0.00322982417591034,0.00337799483082706,0.00585853427692962,0.00912269187791778
"Clinmin",20,0.00109316953661193,0.00167614177147352,0.00318121502880602,0.00332810939018319,0.00578519352390048,0.0090253888852333
"Minsub",0,0,0,0,0,0,0
"Minsub",0.0833333333333333,0.07601514350881,0.0881781593916403,0.111941904371835,0.11262580523113,0.141739439791131,0.160897303912214
"Minsub",0.166666666666667,0.139419577540865,0.161295456806952,0.201629984780143,0.202635956185762,0.250849478658871,0.28060203037049
"Minsub",0.2,0.161733922199225,0.186907453972785,0.23224846229612,0.233327755439263,0.287238880152718,0.319289939463955
"Minsub",0.25,0.192313967623997,0.221826818625356,0.273307748506219,0.274444043558789,0.334685552296679,0.369159935509233
"Minsub",0.333333333333333,0.236434154363643,0.271751657848729,0.330429542405616,0.331589008701737,0.39804151282753,0.434164761422332
"Minsub",0.416666666666667,0.273215717779915,0.31275667159639,0.375850658825779,0.376910081855465,0.445971954374246,0.483839792553181
"Minsub",0.5,0.303847061138909,0.346068304612559,0.411735881543738,0.412686582478218,0.48157075589802,0.520636225188372
"Minsub",0.583333333333333,0.329313207467999,0.374053829963974,0.440161361830774,0.440750024515819,0.507956808311677,0.547916207626027
"Minsub",0.666666666666667,0.350431448609489,0.396060889813475,0.462094028451492,0.46257282942614,0.526853620683744,0.567456195444136
"Minsub",0.75,0.367880767356989,0.414674749862933,0.479002657505726,0.479339577451512,0.541802264704668,0.581045251208235
"Minsub",0.833333333333333,0.382226228176288,0.429647884491019,0.492379290666563,0.4920044548096,0.551526816376191,0.590056524960089
"Minsub",0.916666666666667,0.393938861182111,0.441201915981139,0.501836036427326,0.50133678998481,0.557049267394789,0.595544291046994
"Minsub",1,0.403412028354133,0.449322038865636,0.50861500289455,0.507957530224438,0.561243515846449,0.59831838067265
"Minsub",1.08333333333333,0.410974943375314,0.456741997996205,0.512941812900601,0.512368563116867,0.562838322539787,0.599001427316811
"Minsub",1.16666666666667,0.416903692129395,0.461910588084871,0.515579165592676,0.51497597725499,0.563664728003217,0.598072299871717
"Minsub",1.25,0.421430342596237,0.46503582842905,0.516984575353984,0.516108790287488,0.562979345581003,0.595899575533799
"Minsub",1.33333333333333,0.42475051074262,0.465800796852724,0.516904178833554,0.516034087698913,0.561428363918326,0.593414384799037
"Minsub",1.41666666666667,0.42702954153024,0.466100791221818,0.515970430445537,0.514969055236922,0.558869684882834,0.591379606628377
"Minsub",1.5,0.428407608393523,0.465441012573617,0.514127392798576,0.513090643635836,0.556587701483853,0.588629640304548
"Minsub",1.58333333333333,0.427700486629068,0.463644627650604,0.51147107123181,0.510543359785274,0.554052813961191,0.585312013295377
"Minsub",1.66666666666667,0.424053484839029,0.460421170786556,0.508215071845995,0.507445465865399,0.550585661122335,0.581543822745452
"Minsub",1.75,0.419956230627643,0.457515656847232,0.504702762551944,0.503893985716845,0.546998014273959,0.577418159305396
"Minsub",1.83333333333333,0.415491062605791,0.454652108633671,0.500982315520385,0.499968765105074,0.543096910969175,0.573009203673513
